Internship_ID,Title,Company,Location,Education_Level,Skills_Required,Sector,Duration_Months,Stipend_Range,Mode,Application_Deadline,Industry,Job_Description,Benefits,Number_of_Openings
1,Internship 1,Company 1,Chennai,MBA,"Communication, Marketing",Education,1,11228-49094,Online,2025-11-01,Education,"This internship requires skills in Excel, ML, AI, Deep Learning and relevant experience.",Certificate,5
2,Internship 2,Company 2,Kolkata,PhD,"SEO, Communication, Finance, Python",Operations,3,15666-42823,Hybrid,2025-03-05,Healthcare,"This internship requires skills in Project Management, Excel and relevant experience.",Letter of Recommendation,4
3,Internship 3,Company 3,Chennai,B.Com,"Java, HTML",Design,1,17941-45421,Hybrid,2025-01-15,Tech,"This internship requires skills in Communication, HTML, AI and relevant experience.",Networking,3
4,Internship 4,Company 4,Bangalore,M.Com,"Project Management, Python, Java, Finance",Marketing,2,16993-35042,Offline,2025-12-18,Education,"This internship requires skills in Data Analysis, Python, Marketing, Communication, UI/UX and relevant experience.",Stipend,8
5,Internship 5,Company 5,Chennai,B.Tech,"SEO, SQL, C++, AI",Finance,6,9903-30944,Hybrid,2025-10-22,Healthcare,"This internship requires skills in JavaScript, Communication and relevant experience.",Networking,8
6,Internship 6,Company 6,Kolkata,M.Tech,"Java, CSS, JavaScript, Data Analysis",Education,5,13997-20979,Hybrid,2025-08-12,AI,"This internship requires skills in C++, Accounting, Python, Project Management and relevant experience.",Networking,1
7,Internship 7,Company 7,Pune,PhD,"Project Management, Excel, SEO, Data Analysis",Technology,2,17686-41704,Online,2025-11-11,Education,"This internship requires skills in SEO, Communication, Java and relevant experience.",Flexible Hours,3
8,Internship 8,Company 8,Chennai,PhD,"Finance, Project Management, HTML",AI,4,8696-46922,Hybrid,2025-05-24,Healthcare,"This internship requires skills in Excel, Data Analysis, SEO and relevant experience.",Flexible Hours,7
9,Internship 9,Company 9,Kolkata,MBA,"JavaScript, Accounting, CSS",Finance,2,13773-20766,Online,2025-08-03,Healthcare,"This internship requires skills in Data Analysis, Accounting and relevant experience.",Letter of Recommendation,5
10,Internship 10,Company 10,Mumbai,BBA,"Excel, Java, JavaScript",Education,6,13158-22178,Hybrid,2025-08-10,Finance,"This internship requires skills in Project Management, NLP, AI, SQL and relevant experience.",Networking,5
11,Internship 11,Company 11,Delhi,PhD,"Accounting, Data Analysis",Research,1,10180-21947,Online,2025-06-08,Marketing,"This internship requires skills in CSS, Finance, ML, Deep Learning, SEO and relevant experience.",Letter of Recommendation,1
12,Internship 12,Company 12,Delhi,MBA,"SQL, UI/UX",Education,5,13901-49554,Online,2025-01-28,Education,"This internship requires skills in Accounting, Python and relevant experience.",Networking,4
13,Internship 13,Company 13,Pune,MBA,"C++, Accounting, Marketing",Healthcare,3,8154-22863,Online,2025-06-13,Tech,"This internship requires skills in UI/UX, CSS and relevant experience.",Letter of Recommendation,10
14,Internship 14,Company 14,Mumbai,B.Com,"UI/UX, Python, NLP, Marketing, JavaScript",Education,2,10761-37789,Hybrid,2025-09-04,Tech,"This internship requires skills in CSS, Deep Learning, Excel, Communication and relevant experience.",Letter of Recommendation,1
15,Internship 15,Company 15,Hyderabad,B.Com,"HTML, Communication",Finance,1,12266-36180,Online,2025-03-01,Healthcare,"This internship requires skills in JavaScript, Communication, Java, NLP and relevant experience.",Flexible Hours,8
16,Internship 16,Company 16,Delhi,M.Tech,"Deep Learning, Data Analysis, AI",Operations,5,8406-40397,Online,2025-02-04,Marketing,"This internship requires skills in Deep Learning, Communication, C++, Java and relevant experience.",Networking,2
17,Internship 17,Company 17,Pune,M.Tech,"Accounting, Python, Communication, UI/UX",AI,2,11378-37860,Offline,2025-08-07,Healthcare,"This internship requires skills in Deep Learning, C++, Finance, ML, Marketing and relevant experience.",Letter of Recommendation,4
18,Internship 18,Company 18,Bangalore,M.Com,"UI/UX, Communication, NLP, Excel, ML",Healthcare,5,11801-28013,Online,2025-06-13,AI,"This internship requires skills in NLP, Finance, SEO, ML and relevant experience.",Certificate,4
19,Internship 19,Company 19,Mumbai,PhD,"SEO, Python, JavaScript, ML, Java",AI,4,10596-26376,Online,2025-02-01,Tech,"This internship requires skills in Java, JavaScript, CSS, ML, Python and relevant experience.",Networking,2
20,Internship 20,Company 20,Chennai,M.Com,"ML, Project Management, UI/UX, Java",Marketing,2,12372-23929,Hybrid,2025-07-15,Healthcare,"This internship requires skills in Marketing, SQL, Data Analysis and relevant experience.",Letter of Recommendation,9
21,Internship 21,Company 21,Chennai,BBA,"Accounting, ML",Design,5,8593-24513,Offline,2025-09-02,Finance,"This internship requires skills in JavaScript, NLP, C++, Project Management and relevant experience.",Stipend,1
22,Internship 22,Company 22,Chennai,M.Tech,"AI, C++, SEO, Python, NLP",Education,1,7955-44927,Hybrid,2025-01-01,Tech,"This internship requires skills in JavaScript, Marketing and relevant experience.",Letter of Recommendation,8
23,Internship 23,Company 23,Chennai,M.Tech,"UI/UX, HTML, Marketing, Deep Learning",Finance,5,9620-49349,Offline,2025-12-28,AI,"This internship requires skills in JavaScript, CSS, C++ and relevant experience.",Stipend,8
24,Internship 24,Company 24,Mumbai,M.Com,"HTML, Python",AI,5,11812-42849,Offline,2025-02-19,AI,"This internship requires skills in ML, Accounting, C++, Excel and relevant experience.",Flexible Hours,1
25,Internship 25,Company 25,Hyderabad,M.Tech,"Excel, Finance, Data Analysis, Deep Learning",Operations,1,16677-40227,Online,2025-05-14,AI,"This internship requires skills in Communication, ML, SEO, Accounting and relevant experience.",Letter of Recommendation,1
26,Internship 26,Company 26,Bangalore,MBA,"JavaScript, Data Analysis, C++",Design,4,7667-46133,Online,2025-05-14,Education,"This internship requires skills in CSS, C++, Excel and relevant experience.",Stipend,7
27,Internship 27,Company 27,Delhi,MBA,"Excel, Data Analysis, AI, Accounting, SQL",Design,3,10845-34908,Offline,2025-09-14,Tech,"This internship requires skills in SQL, ML, NLP, Communication, SEO and relevant experience.",Certificate,4
28,Internship 28,Company 28,Hyderabad,B.Com,"Python, SQL, Deep Learning",AI,3,11008-47691,Online,2025-06-13,Education,"This internship requires skills in Java, C++, Excel, Python and relevant experience.",Flexible Hours,2
29,Internship 29,Company 29,Pune,B.Tech,"CSS, Communication, AI, C++",AI,1,13111-34880,Online,2025-01-22,Healthcare,"This internship requires skills in SQL, Deep Learning, HTML and relevant experience.",Letter of Recommendation,1
30,Internship 30,Company 30,Bangalore,BBA,"Deep Learning, SEO, Data Analysis, Finance, AI",Technology,2,14594-46190,Offline,2025-03-07,Education,"This internship requires skills in Communication, HTML, ML and relevant experience.",Flexible Hours,2
31,Internship 31,Company 31,Chennai,B.Tech,"JavaScript, Accounting, Finance",E-commerce,1,15294-32887,Online,2025-03-09,Marketing,"This internship requires skills in Excel, Data Analysis, Marketing, Communication, HTML and relevant experience.",Certificate,2
32,Internship 32,Company 32,Pune,B.Tech,"Excel, C++, Java, Python, SEO",Marketing,2,17463-32140,Hybrid,2025-01-17,Education,"This internship requires skills in Finance, AI and relevant experience.",Stipend,8
33,Internship 33,Company 33,Kolkata,PhD,"Deep Learning, C++, UI/UX, Excel, SEO",Operations,6,13840-43847,Online,2025-10-15,Marketing,"This internship requires skills in Deep Learning, Java and relevant experience.",Networking,7
34,Internship 34,Company 34,Chennai,MBA,"Data Analysis, SQL",E-commerce,3,13176-33332,Online,2025-11-25,Finance,"This internship requires skills in Python, Marketing, C++ and relevant experience.",Stipend,7
35,Internship 35,Company 35,Kolkata,BBA,"SEO, Python, C++, Finance, UI/UX",Marketing,6,5687-29166,Online,2025-02-16,Education,"This internship requires skills in Python, ML, AI and relevant experience.",Stipend,5
36,Internship 36,Company 36,Bangalore,PhD,"Python, C++",Marketing,5,13234-26630,Offline,2025-04-04,Marketing,"This internship requires skills in SEO, Java and relevant experience.",Letter of Recommendation,10
37,Internship 37,Company 37,Pune,BBA,"UI/UX, Excel, CSS, Finance",Education,1,17637-37690,Hybrid,2025-06-10,Healthcare,"This internship requires skills in Deep Learning, SEO and relevant experience.",Flexible Hours,6
38,Internship 38,Company 38,Hyderabad,PhD,"Java, Python, UI/UX, Data Analysis, SEO",E-commerce,1,7447-43940,Online,2025-05-06,AI,"This internship requires skills in ML, UI/UX, Accounting, HTML, Python and relevant experience.",Flexible Hours,10
39,Internship 39,Company 39,Pune,B.Tech,"Python, ML",Healthcare,5,10053-37666,Hybrid,2025-04-15,Finance,"This internship requires skills in CSS, Java and relevant experience.",Networking,10
40,Internship 40,Company 40,Kolkata,PhD,"HTML, Java",Research,1,12891-42142,Online,2025-03-10,Healthcare,"This internship requires skills in Communication, Project Management, HTML, NLP and relevant experience.",Letter of Recommendation,4
41,Internship 41,Company 41,Chennai,B.Com,"JavaScript, Deep Learning, Finance, SEO",AI,3,17008-33151,Online,2025-11-03,Marketing,"This internship requires skills in Marketing, Project Management and relevant experience.",Networking,8
42,Internship 42,Company 42,Pune,BBA,"AI, CSS, Marketing",AI,3,7325-20708,Online,2025-09-19,Tech,"This internship requires skills in Python, Communication, Excel and relevant experience.",Certificate,7
43,Internship 43,Company 43,Pune,MBA,"Deep Learning, NLP, Excel",Operations,1,11631-37532,Offline,2025-06-04,Finance,"This internship requires skills in Finance, Marketing and relevant experience.",Flexible Hours,8
44,Internship 44,Company 44,Delhi,PhD,"HTML, AI, JavaScript, SEO",Technology,1,10790-33082,Offline,2025-07-27,Marketing,"This internship requires skills in Marketing, Communication, SQL, HTML and relevant experience.",Stipend,9
45,Internship 45,Company 45,Mumbai,PhD,"NLP, UI/UX, SEO",AI,5,12676-38132,Hybrid,2025-10-26,AI,"This internship requires skills in ML, Python, Marketing, Java and relevant experience.",Networking,2
46,Internship 46,Company 46,Chennai,B.Tech,"SQL, ML, Finance, C++, HTML",Operations,5,18707-35686,Online,2025-09-12,Tech,"This internship requires skills in Project Management, Python, Finance, Deep Learning, Accounting and relevant experience.",Flexible Hours,5
47,Internship 47,Company 47,Pune,B.Com,"Java, C++, UI/UX, Communication, SQL",Education,6,17868-39988,Hybrid,2025-03-28,Marketing,"This internship requires skills in CSS, Python, Excel, ML, HTML and relevant experience.",Flexible Hours,1
48,Internship 48,Company 48,Pune,B.Tech,"CSS, Finance, SEO, Communication",Marketing,6,8152-29884,Offline,2025-02-21,Healthcare,"This internship requires skills in Java, Marketing, Project Management, Python and relevant experience.",Letter of Recommendation,10
